date,price
2017-11-09,320.884003
2017-11-10,299.252991
2017-11-11,314.681
2017-11-12,307.90799
2017-11-13,316.716003
2017-11-14,337.631012
2017-11-15,333.356995
2017-11-16,330.924011
2017-11-17,332.394012
2017-11-18,347.612
2017-11-19,354.385986
2017-11-20,366.730011
2017-11-21,360.401001
2017-11-22,380.652008
2017-11-23,410.165985
2017-11-24,474.911011
2017-11-25,466.276001
2017-11-26,471.329987
2017-11-27,480.355011
2017-11-28,472.902008
2017-11-29,427.52301
2017-11-30,447.114014
2017-12-01,466.540009
2017-12-02,463.449005
2017-12-03,465.852997
2017-12-04,470.20401
2017-12-05,463.281006
2017-12-06,428.588013
2017-12-07,434.40799
2017-12-08,456.031006
2017-12-09,473.502014
2017-12-10,441.721008
2017-12-11,515.135986
2017-12-12,651.43103
2017-12-13,702.767029
2017-12-14,695.815979
2017-12-15,684.447998
2017-12-16,696.208984
2017-12-17,719.974976
2017-12-18,794.64502
2017-12-19,826.822998
2017-12-20,819.085999
2017-12-21,821.062988
2017-12-22,674.859985
2017-12-23,719.387024
2017-12-24,694.14801
2017-12-25,765.833984
2017-12-26,773.835999
2017-12-27,762.84198
2017-12-28,737.02301
2017-12-29,753.59198
2017-12-30,717.257019
2017-12-31,756.732971
2018-01-01,772.640991
2018-01-02,884.44397
2018-01-03,962.719971
2018-01-04,980.921997
2018-01-05,997.719971
2018-01-06,1041.680054
2018-01-07,1153.170044
2018-01-08,1148.530029
2018-01-09,1299.73999
2018-01-10,1255.819946
2018-01-11,1154.930054
2018-01-12,1273.199951
2018-01-13,1396.420044
2018-01-14,1366.77002
2018-01-15,1291.920044
2018-01-16,1053.689941
2018-01-17,1014.25
2018-01-18,1036.280029
2018-01-19,1039.099976
2018-01-20,1155.150024
2018-01-21,1049.579956
2018-01-22,1003.26001
2018-01-23,986.229004
2018-01-24,1058.780029
2018-01-25,1056.030029
2018-01-26,1055.170044
2018-01-27,1107.069946
2018-01-28,1246.01001
2018-01-29,1182.359985
2018-01-30,1071.130005
2018-01-31,1118.310059
2018-02-01,1036.790039
2018-02-02,915.784973
2018-02-03,964.018982
2018-02-04,834.682007
2018-02-05,697.950989
2018-02-06,793.122009
2018-02-07,757.067993
2018-02-08,817.807007
2018-02-09,883.86499
2018-02-10,860.414978
2018-02-11,814.659973
2018-02-12,868.70697
2018-02-13,845.257996
2018-02-14,923.560974
2018-02-15,936.976013
2018-02-16,944.210022
2018-02-17,974.11499
2018-02-18,923.921021
2018-02-19,943.86499
2018-02-20,895.370972
2018-02-21,849.971008
2018-02-22,812.844971
2018-02-23,864.189026
2018-02-24,840.515015
2018-02-25,844.809998
2018-02-26,869.315002
2018-02-27,878.265015
2018-02-28,855.198975
2018-03-01,872.200012
2018-03-02,856.853027
2018-03-03,857.224976
2018-03-04,866.677979
2018-03-05,853.684021
2018-03-06,816.950989
2018-03-07,752.830994
2018-03-08,704.596008
2018-03-09,728.916016
2018-03-10,686.890015
2018-03-11,723.338989
2018-03-12,699.830994
2018-03-13,690.827026
2018-03-14,614.291016
2018-03-15,611.304016
2018-03-16,601.666016
2018-03-17,552.778992
2018-03-18,538.643982
2018-03-19,556.726013
2018-03-20,557.174988
2018-03-21,561.731995
2018-03-22,539.702026
2018-03-23,539.619019
2018-03-24,526.439026
2018-03-25,524.286987
2018-03-26,489.950989
2018-03-27,450.115997
2018-03-28,446.278992
2018-03-29,385.967987
2018-03-30,394.644989
2018-03-31,396.457001
2018-04-01,379.606995
2018-04-02,386.424988
2018-04-03,416.893005
2018-04-04,380.542999
2018-04-05,383.231995
2018-04-06,370.285004
2018-04-07,385.313995
2018-04-08,400.507996
2018-04-09,398.526001
2018-04-10,414.243011
2018-04-11,430.540009
2018-04-12,492.94101
2018-04-13,492.734985
2018-04-14,501.477997
2018-04-15,531.702026
2018-04-16,511.147003
2018-04-17,502.894012
2018-04-18,524.789001
2018-04-19,567.888977
2018-04-20,615.718018
2018-04-21,605.39502
2018-04-22,621.859985
2018-04-23,642.547974
2018-04-24,708.15802
2018-04-25,615.416016
2018-04-26,662.809021
2018-04-27,647.031982
2018-04-28,683.677979
2018-04-29,688.880981
2018-04-30,669.924011
2018-05-01,673.612976
2018-05-02,687.148987
2018-05-03,779.54303
2018-05-04,785.624023
2018-05-05,816.119995
2018-05-06,792.310974
2018-05-07,753.724976
2018-05-08,752.856995
2018-05-09,752.275024
2018-05-10,727.276978
2018-05-11,679.585999
2018-05-12,686.047974
2018-05-13,733.495972
2018-05-14,730.549011
2018-05-15,708.870972
2018-05-16,707.049988
2018-05-17,672.656982
2018-05-18,694.367004
2018-05-19,696.530029
2018-05-20,715.369019
2018-05-21,699.221985
2018-05-22,647.741028
2018-05-23,583.585022
2018-05-24,601.755005
2018-05-25,586.734009
2018-05-26,587.280029
2018-05-27,572.66803
2018-05-28,516.036011
2018-05-29,565.388
2018-05-30,559.590027
2018-05-31,577.64502
2018-06-01,580.04303
2018-06-02,591.807983
2018-06-03,618.328979
2018-06-04,592.984985
2018-06-05,609.302979
2018-06-06,607.124023
2018-06-07,605.187012
2018-06-08,601.077026
2018-06-09,597.562012
2018-06-10,526.479004
2018-06-11,533.283997
2018-06-12,496.842987
2018-06-13,477.493988
2018-06-14,519.742004
2018-06-15,491.003998
2018-06-16,499.641998
2018-06-17,500.447998
2018-06-18,518.890991
2018-06-19,537.95697
2018-06-20,536.268005
2018-06-21,527.367004
2018-06-22,465.816986
2018-06-23,474.519989
2018-06-24,457.671997
2018-06-25,460.309998
2018-06-26,432.772003
2018-06-27,442.36499
2018-06-28,422.36499
2018-06-29,436.009003
2018-06-30,455.179993
2018-07-01,453.917999
2018-07-02,475.346985
2018-07-03,464.195007
2018-07-04,467.317993
2018-07-05,474.411987
2018-07-06,474.011993
2018-07-07,491.660004
2018-07-08,489.118988
2018-07-09,476.682007
2018-07-10,434.424011
2018-07-11,446.518005
2018-07-12,430.074005
2018-07-13,434.027008
2018-07-14,436.085999
2018-07-15,449.850006
2018-07-16,480.65799
2018-07-17,501.002014
2018-07-18,480.513
2018-07-19,469.618988
2018-07-20,450.697998
2018-07-21,462.436005
2018-07-22,459.657013
2018-07-23,450.852997
2018-07-24,479.372986
2018-07-25,472.493011
2018-07-26,464.036987
2018-07-27,469.665985
2018-07-28,466.89801
2018-07-29,466.665009
2018-07-30,457.080994
2018-07-31,433.867004
2018-08-01,420.747009
2018-08-02,412.621002
2018-08-03,418.261993
2018-08-04,407.252014
2018-08-05,410.515991
2018-08-06,406.65799
2018-08-07,380.214996
2018-08-08,356.613007
2018-08-09,365.588013
2018-08-10,334.175995
2018-08-11,322.112
2018-08-12,319.570007
2018-08-13,286.494995
2018-08-14,278.932007
2018-08-15,282.364014
2018-08-16,288.04599
2018-08-17,315.729004
2018-08-18,295.812012
2018-08-19,300.834015
2018-08-20,274.315002
2018-08-21,281.944
2018-08-22,271.341003
2018-08-23,277.104004
2018-08-24,282.96701
2018-08-25,279.645996
2018-08-26,275.196991
2018-08-27,285.602997
2018-08-28,296.498993
2018-08-29,289.312012
2018-08-30,284.105011
2018-08-31,283.003998
2018-09-01,295.341003
2018-09-02,294.371002
2018-09-03,289.259003
2018-09-04,285.722992
2018-09-05,232.330994
2018-09-06,230.214996
2018-09-07,217.203003
2018-09-08,197.951004
2018-09-09,196.923996
2018-09-10,197.078995
2018-09-11,185.065994
2018-09-12,183.330994
2018-09-13,211.354004
2018-09-14,211.748993
2018-09-15,223.074005
2018-09-16,220.589005
2018-09-17,197.875
2018-09-18,209.975006
2018-09-19,209.968994
2018-09-20,224.591003
2018-09-21,246.584
2018-09-22,240.479996
2018-09-23,244.330002
2018-09-24,228.729996
2018-09-25,218.505005
2018-09-26,215.847
2018-09-27,228.494003
2018-09-28,222.401993
2018-09-29,231.634995
2018-09-30,232.848007
2018-10-01,230.768005
2018-10-02,227.181
2018-10-03,220.488998
2018-10-04,222.218002
2018-10-05,227.600998
2018-10-06,225.119995
2018-10-07,226.119003
2018-10-08,229.255005
2018-10-09,227.981995
2018-10-10,225.768997
2018-10-11,189.498993
2018-10-12,196.727005
2018-10-13,199.841003
2018-10-14,195.714996
2018-10-15,209.703995
2018-10-16,210.119995
2018-10-17,207.082993
2018-10-18,203.352005
2018-10-19,203.727005
2018-10-20,205.429993
2018-10-21,205.141998
2018-10-22,204.044006
2018-10-23,204.335999
2018-10-24,203.852005
2018-10-25,202.718994
2018-10-26,203.328995
2018-10-27,204.210007
2018-10-28,205.365997
2018-10-29,197.246994
2018-10-30,197.556
2018-10-31,197.380997
2018-11-01,198.871994
2018-11-02,200.634995
2018-11-03,200.186005
2018-11-04,207.485992
2018-11-05,209.091003
2018-11-06,218.451996
2018-11-07,217.182999
2018-11-08,212.231003
2018-11-09,210.074005
2018-11-10,212.533005
2018-11-11,211.339996
2018-11-12,210.417999
2018-11-13,206.826004
2018-11-14,181.397003
2018-11-15,180.806
2018-11-16,175.177002
2018-11-17,174.001007
2018-11-18,177.067001
2018-11-19,149.175003
2018-11-20,130.339005
2018-11-21,136.701004
2018-11-22,126.706001
2018-11-23,123.295998
2018-11-24,113.494003
2018-11-25,116.449997
2018-11-26,108.334999
2018-11-27,110.010002
2018-11-28,122.438004
