date,price
2017-11-09,120.779999
2017-11-10,105.585999
2017-11-11,119.615997
2017-11-12,123.856003
2017-11-13,123.402
2017-11-14,122.352997
2017-11-15,121.374001
2017-11-16,120.305
2017-11-17,126.699997
2017-11-18,130.798996
2017-11-19,129.479004
2017-11-20,135.764999
2017-11-21,141.738007
2017-11-22,165.949997
2017-11-23,158.606995
2017-11-24,160.026993
2017-11-25,168.442001
2017-11-26,163.373993
2017-11-27,173.391998
2017-11-28,203.210007
2017-11-29,168.149994
2017-11-30,180.138
2017-12-01,190.938004
2017-12-02,203.033997
2017-12-03,200.050995
2017-12-04,210.242004
2017-12-05,269.484009
2017-12-06,278.684998
2017-12-07,280.855011
2017-12-08,276.743988
2017-12-09,262.53299
2017-12-10,245.332993
2017-12-11,279.669006
2017-12-12,308.066986
2017-12-13,305.744995
2017-12-14,325.205994
2017-12-15,312.321991
2017-12-16,327.321014
2017-12-17,351.372986
2017-12-18,381.511993
2017-12-19,377.235992
2017-12-20,469.197998
2017-12-21,417.980011
2017-12-22,346.113007
2017-12-23,382.039001
2017-12-24,337.059998
2017-12-25,360.782013
2017-12-26,381.542999
2017-12-27,421.848999
2017-12-28,378.903992
2017-12-29,377.365997
2017-12-30,330.803986
2017-12-31,349.026001
2018-01-01,358.98999
2018-01-02,383.416992
2018-01-03,412.062988
2018-01-04,403.048004
2018-01-05,384.936005
2018-01-06,452.770996
2018-01-07,459.330994
2018-01-08,405.074005
2018-01-09,413.334015
2018-01-10,407.740997
2018-01-11,355.59201
2018-01-12,394.78299
2018-01-13,420.053986
2018-01-14,399.519012
2018-01-15,414.570007
2018-01-16,320.036987
2018-01-17,319.186005
2018-01-18,316.467987
2018-01-19,364.621002
2018-01-20,383.789001
2018-01-21,345.07901
2018-01-22,315.89801
2018-01-23,308.460999
2018-01-24,317.399994
2018-01-25,317.102997
2018-01-26,323.684998
2018-01-27,321.355011
2018-01-28,332.166992
2018-01-29,316.627991
2018-01-30,274.015991
2018-01-31,272.889008
2018-02-01,240.964996
2018-02-02,235.630005
2018-02-03,251.587997
2018-02-04,221.046005
2018-02-05,179.487
2018-02-06,212.289001
2018-02-07,207.274994
2018-02-08,247.223999
2018-02-09,260.433014
2018-02-10,250.029999
2018-02-11,229.485001
2018-02-12,247.567993
2018-02-13,234.688995
2018-02-14,276.661987
2018-02-15,303.251007
2018-02-16,296.47699
2018-02-17,325.665009
2018-02-18,300.118011
2018-02-19,316.493988
2018-02-20,304.395996
2018-02-21,322.606995
2018-02-22,282.76001
2018-02-23,285.708008
2018-02-24,273.790009
2018-02-25,281.02301
2018-02-26,293.608002
2018-02-27,302.540985
2018-02-28,285.696991
2018-03-01,314.035004
2018-03-02,344.729004
2018-03-03,352.954987
2018-03-04,368.973999
2018-03-05,373.247009
2018-03-06,346.39801
2018-03-07,339.14801
2018-03-08,278.636993
2018-03-09,288.089996
2018-03-10,257.044006
2018-03-11,282.351013
2018-03-12,259.421997
2018-03-13,248.067993
2018-03-14,215.559998
2018-03-15,213.311005
2018-03-16,215.703003
2018-03-17,197.912994
2018-03-18,209.632996
2018-03-19,216.772995
2018-03-20,223.737
2018-03-21,218.632996
2018-03-22,212.710007
2018-03-23,213.914993
2018-03-24,209.158005
2018-03-25,211.783997
2018-03-26,197.175003
