date,price
2017-11-09,0.217488
2017-11-10,0.206483
2017-11-11,0.21043
2017-11-12,0.197339
2017-11-13,0.203442
2017-11-14,0.209825
2017-11-15,0.212956
2017-11-16,0.227107
2017-11-17,0.226581
2017-11-18,0.228627
2017-11-19,0.231016
2017-11-20,0.238759
2017-11-21,0.233271
2017-11-22,0.238859
2017-11-23,0.242402
2017-11-24,0.244642
2017-11-25,0.252393
2017-11-26,0.248818
2017-11-27,0.253927
2017-11-28,0.299152
2017-11-29,0.243064
2017-11-30,0.250878
2017-12-01,0.255699
2017-12-02,0.255492
2017-12-03,0.252558
2017-12-04,0.253571
2017-12-05,0.246101
2017-12-06,0.232544
2017-12-07,0.222823
2017-12-08,0.252125
2017-12-09,0.244708
2017-12-10,0.237333
2017-12-11,0.251691
2017-12-12,0.373541
2017-12-13,0.471063
2017-12-14,0.864263
2017-12-15,0.756181
2017-12-16,0.758642
2017-12-17,0.728366
2017-12-18,0.778407
2017-12-19,0.791257
2017-12-20,0.775964
2017-12-21,1.19306
2017-12-22,1.13828
2017-12-23,1.17434
2017-12-24,1.04395
2017-12-25,1.12232
2017-12-26,1.18949
2017-12-27,1.39964
2017-12-28,1.43088
2017-12-29,2.2146
2017-12-30,2.15902
2017-12-31,2.30057
2018-01-01,2.39103
2018-01-02,2.4809
2018-01-03,3.10537
2018-01-04,3.19663
2018-01-05,3.04871
2018-01-06,3.09397
2018-01-07,3.37781
2018-01-08,2.45621
2018-01-09,2.10178
2018-01-10,1.97492
2018-01-11,1.9508
2018-01-12,2.04323
2018-01-13,2.02135
2018-01-14,1.86119
2018-01-15,1.67673
2018-01-16,1.17924
2018-01-17,1.30634
2018-01-18,1.59658
2018-01-19,1.55205
2018-01-20,1.57862
2018-01-21,1.38004
2018-01-22,1.35735
2018-01-23,1.33707
2018-01-24,1.35715
2018-01-25,1.31223
2018-01-26,1.21727
2018-01-27,1.21911
2018-01-28,1.3996
2018-01-29,1.32397
2018-01-30,1.13856
2018-01-31,1.16239
2018-02-01,0.96253
2018-02-02,0.884784
2018-02-03,0.924043
2018-02-04,0.815703
2018-02-05,0.691799
2018-02-06,0.776393
2018-02-07,0.723895
2018-02-08,0.805263
2018-02-09,0.954428
